id,lon,lat,yagis
290,38.11,32.07,0.121674
291,38.15,29.79,0.017886
292,38.15,29.83,0.017067
293,38.15,29.87,0.016205
294,38.15,29.91,0.015158
295,38.15,29.95,0.014204
296,38.15,29.99,0.013491
297,38.15,30.03,0.015494
298,38.15,30.07,0.018401
299,38.15,30.11,0.021562
300,38.15,30.15,0.024841
301,38.15,30.19,0.028508
302,38.15,30.23,0.032653
303,38.15,30.27,0.035708
304,38.15,30.31,0.038891
305,38.15,30.35,0.042562
306,38.15,30.39,0.042667
307,38.15,30.43,0.042151
308,38.15,30.47,0.041099
309,38.15,30.51,0.035451
310,38.15,30.55,0.031708
311,38.15,30.59,0.030519
312,38.15,30.63,0.036436
313,38.15,30.67,0.043782
314,38.15,30.71,0.032315
315,38.15,30.75,-0.017401
316,38.15,30.79,-0.030989
317,38.15,30.83,-0.034182
318,38.15,30.87,-0.018155
319,38.15,30.91,0.017688
320,38.15,30.95,0.097069
321,38.15,30.99,0.088129
322,38.15,31.03,0.079017
323,38.15,31.07,0.073321
324,38.15,31.11,0.075855
325,38.15,31.15,0.079168
326,38.15,31.19,0.084245
327,38.15,31.23,0.09157
328,38.15,31.27,0.099319
329,38.15,31.31,0.108422
330,38.15,31.35,0.118911
331,38.15,31.39,0.129498
332,38.15,31.43,0.134997
333,38.15,31.47,0.135153
334,38.15,31.51,0.135281
335,38.15,31.55,0.132443
336,38.15,31.59,0.127109
337,38.15,31.63,0.121628
338,38.15,31.67,0.116523
339,38.15,31.71,0.111812
340,38.15,31.75,0.107202
341,38.15,31.79,0.11433
342,38.15,31.83,0.127105
343,38.15,31.87,0.139771
344,38.15,31.91,0.136913
345,38.15,31.95,0.128215
346,38.15,31.99,0.119318
347,38.15,32.03,0.11907
348,38.15,32.07,0.121214
349,38.19,29.79,0.015645
350,38.19,29.83,0.016406
351,38.19,29.87,0.016995
352,38.19,29.91,0.016195
353,38.19,29.95,0.015214
354,38.19,29.99,0.014563
355,38.19,30.03,0.01268
356,38.19,30.07,0.010732
357,38.19,30.11,0.009116
358,38.19,30.15,0.008545
359,38.19,30.19,0.008388
360,38.19,30.23,0.008562
361,38.19,30.27,0.018462
362,38.19,30.31,0.029382
363,38.19,30.35,0.040816
364,38.19,30.39,0.0492
365,38.19,30.43,0.057335
366,38.19,30.47,0.062976
367,38.19,30.51,0.029902
368,38.19,30.55,0.0132
369,38.19,30.59,0.00568
370,38.19,30.63,0.016676
371,38.19,30.67,0.0362
372,38.19,30.71,0.040752
373,38.19,30.75,-0.015013
374,38.19,30.79,-0.031136
375,38.19,30.83,-0.035233
376,38.19,30.87,-0.020499
377,38.19,30.91,0.012441
378,38.19,30.95,0.083026
379,38.19,30.99,0.079108
380,38.19,31.03,0.074907
381,38.19,31.07,0.071814
382,38.19,31.11,0.07176
383,38.19,31.15,0.072292
384,38.19,31.19,0.075458
385,38.19,31.23,0.08205
386,38.19,31.27,0.08881
387,38.19,31.31,0.09769
388,38.19,31.35,0.108965
389,38.19,31.39,0.120194
390,38.19,31.43,0.128154
391,38.19,31.47,0.133103
392,38.19,31.51,0.138192
393,38.19,31.55,0.137413
394,38.19,31.59,0.132079
395,38.19,31.63,0.126777
396,38.19,31.67,0.122939
397,38.19,31.71,0.119887
398,38.19,31.75,0.116738
399,38.19,31.79,0.122672
400,38.19,31.83,0.132953
401,38.19,31.87,0.143315
402,38.19,31.91,0.143282
403,38.19,31.95,0.13952
404,38.19,31.99,0.135697
405,38.19,32.03,0.135073
406,38.19,32.07,0.135323
407,38.23,29.79,0.01559
408,38.23,29.83,0.016406
409,38.23,29.87,0.017288
410,38.23,29.91,0.018799
411,38.23,29.95,0.02046
412,38.23,29.99,0.022206
413,38.23,30.03,0.017775
414,38.23,30.07,0.012406
415,38.23,30.11,0.007184
416,38.23,30.15,0.00273
417,38.23,30.19,-0.001465
418,38.23,30.23,-0.005446
419,38.23,30.27,0.009
420,38.23,30.31,0.024743
421,38.23,30.35,0.041113
422,38.23,30.39,0.048851
423,38.23,30.43,0.055227
424,38.23,30.47,0.057244
425,38.23,30.51,0.0247
426,38.23,30.55,0.00762
427,38.23,30.59,-0.000304
428,38.23,30.63,0.011634
429,38.23,30.67,0.035567
430,38.23,30.71,0.048758
431,38.23,30.75,-0.010667
432,38.23,30.79,-0.029428
433,38.23,30.83,-0.034675
434,38.23,30.87,-0.021401
435,38.23,30.91,0.008276
436,38.23,30.95,0.069375
437,38.23,30.99,0.07001
438,38.23,31.03,0.070643
439,38.23,31.07,0.07003
440,38.23,31.11,0.067443
441,38.23,31.15,0.065292
442,38.23,31.19,0.066676
443,38.23,31.23,0.07256
444,38.23,31.27,0.078475
445,38.23,31.31,0.087396
446,38.23,31.35,0.099625
447,38.23,31.39,0.111729
448,38.23,31.43,0.122081
449,38.23,31.47,0.131309
450,38.23,31.51,0.141037
451,38.23,31.55,0.142121
452,38.23,31.59,0.136958
453,38.23,31.63,0.132182
454,38.23,31.67,0.129679
455,38.23,31.71,0.128175
456,38.23,31.75,0.126502
457,38.23,31.79,0.131184
458,38.23,31.83,0.139004
459,38.23,31.87,0.147133
460,38.23,31.91,0.150069
461,38.23,31.95,0.151245
462,38.23,31.99,0.152494
463,38.23,32.03,0.151401
464,38.23,32.07,0.149751
465,38.27,29.79,0.016642
466,38.27,29.83,0.016673
467,38.27,29.87,0.017092
468,38.27,29.91,0.022872
469,38.27,29.95,0.029583
470,38.27,29.99,0.036325
471,38.27,30.03,0.031382
472,38.27,30.07,0.025142
473,38.27,30.11,0.018953
474,38.27,30.15,0.011867
475,38.27,30.19,0.004774
476,38.27,30.23,-0.002153
477,38.27,30.27,0.012576
478,38.27,30.31,0.028333
479,38.27,30.35,0.043647
480,38.27,30.39,0.028821
481,38.27,30.43,0.018909
482,38.27,30.47,0.013671
483,38.27,30.51,0.013731
484,38.27,30.55,0.013216
485,38.27,30.59,0.013954
486,38.27,30.63,0.026597
487,38.27,30.67,0.047264
488,38.27,30.71,0.056046
489,38.27,30.75,0.015616
490,38.27,30.79,-0.00196
491,38.27,30.83,-0.006959
492,38.27,30.87,0.006608
493,38.27,30.91,0.032831
494,38.27,30.95,0.069476
495,38.27,30.99,0.067401
496,38.27,31.03,0.065552
497,38.27,31.07,0.065427
498,38.27,31.11,0.06787
499,38.27,31.15,0.070462
500,38.27,31.19,0.074033
501,38.27,31.23,0.078371
502,38.27,31.27,0.082335
503,38.27,31.31,0.0867
504,38.27,31.35,0.091898
505,38.27,31.39,0.097264
506,38.27,31.43,0.107816
507,38.27,31.47,0.123528
508,38.27,31.51,0.140398
509,38.27,31.55,0.145052
510,38.27,31.59,0.141056
511,38.27,31.63,0.137477
512,38.27,31.67,0.134428
513,38.27,31.71,0.131427
514,38.27,31.75,0.128346
515,38.27,31.79,0.132251
516,38.27,31.83,0.139291
517,38.27,31.87,0.146517
518,38.27,31.91,0.148015
519,38.27,31.95,0.147718
520,38.27,31.99,0.14752
521,38.27,32.03,0.1438
522,38.27,32.07,0.13925
523,38.31,29.79,0.018106
524,38.31,29.83,0.018993
525,38.31,29.87,0.020178
526,38.31,29.91,0.028251
527,38.31,29.95,0.037642
528,38.31,29.99,0.047538
529,38.31,30.03,0.041936
530,38.31,30.07,0.03528
531,38.31,30.11,0.028632
532,38.31,30.15,0.019992
533,38.31,30.19,0.010853
534,38.31,30.23,0.002153
535,38.31,30.27,0.01651
536,38.31,30.31,0.032177
537,38.31,30.35,0.044574
538,38.31,30.39,0.014537
539,38.31,30.43,0.001532
540,38.31,30.47,-0.003369
541,38.31,30.51,0.005845
542,38.31,30.55,0.023697
543,38.31,30.59,0.054267
544,38.31,30.63,0.057525
545,38.31,30.67,0.061906
546,38.31,30.71,0.069489
