NAME,KEY,H0160001,H0160002,H0160003,H0160004,H0160005,H0160006,H0160007,H0160008,H0160009,H0160010,H0160011,H0160012,H0160013,H0160014,H0160015,H0160016,H0160017,H0040001,P0030001,STATE,COUNTY,TRACT,BLKGRP,BLOCK
Block 1028,36109309723096100220011028,8,8,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,8,23,36,109,002200,1,1028
Block 1029,36109309723096100220011029,22,18,5,4,4,3,0,2,0,4,2,1,1,0,0,0,0,22,56,36,109,002200,1,1029
Block 1054,36109309723096100220011054,5,4,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,5,10,36,109,002200,1,1054
Block 2000,36109309723096100220022000,29,26,4,13,6,1,2,0,0,3,1,2,0,0,0,0,0,29,87,36,109,002200,2,2000
Block 2002,36109309723096100220022002,58,47,12,21,9,3,1,0,1,11,5,3,2,0,1,0,0,58,127,36,109,002200,2,2002
Block 2003,36109309723096100220022003,31,23,5,9,2,4,1,1,1,8,0,6,2,0,0,0,0,31,83,36,109,002200,2,2003
Block 2004,36109309723096100220022004,43,21,2,10,4,0,4,1,0,22,10,6,1,0,3,1,1,43,113,36,109,002200,2,2004
Block 2005,36109309723096100220022005,79,5,1,2,0,1,1,0,0,74,45,22,4,3,0,0,0,79,127,36,109,002200,2,2005
Block 2006,36109309723096100220022006,29,6,1,4,0,0,1,0,0,23,8,8,3,1,2,1,0,29,67,36,109,002200,2,2006
Block 2007,36109309723096100220022007,69,52,14,18,10,6,3,1,0,17,4,4,4,1,2,2,0,69,175,36,109,002200,2,2007
Block 2008,36109309723096100220022008,10,7,0,3,2,0,2,0,0,3,2,0,0,0,1,0,0,10,29,36,109,002200,2,2008
Block 2009,36109309723096100220022009,8,8,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,8,18,36,109,002200,2,2009
Block 2010,36109309723096100220022010,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,36,109,002200,2,2010
Block 2011,36109309723096100220022011,9,8,3,3,2,0,0,0,0,1,0,0,1,0,0,0,0,9,18,36,109,002200,2,2011
Block 2012,36109309723096100220022012,36,11,4,2,4,0,0,1,0,25,7,7,6,4,1,0,0,36,86,36,109,002200,2,2012
